ln(gamma),log(pv), Total mean interaction energy in the mix (H_int)  , H-Bond interaction energy in the mix (H_HB)       , VdW interaction energy in the mix (H_vdW)         , Gas liquid transition energy in the mix (H_glt)   ,w_RS,log10(S_RS),Solvent_MolWeight,XLogP3,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Heavy Atom Count,Complexity,Atomic weights,E_gas,E_diel,Averaging corr dE,Area,Volume,Log(MV),Total COSMO charge,Dipole moment t_value,Sigma2,Sigma3,Sigma4,Sigma5,H-bond moment (accept),H-bond moment (donor) ,"PKA(25,H2O)","PKA(25,MeCN)",logD,WANS*10^5,حdح(dipole moment),Polar Surface Area,Nitrogen Heterocycle Count,Ring Count,Nitrogen Count,Sulfur Count,true_values
0.19,1.6,1.49,-2.76,-6.72,1.14,0,-3.93,18.34,-1.1,4,5,6,15,239,1.11E+31,-492236.17,-26.02,1.56,247.96,269.32,2.43,0,7.46,186,7.26,354,-39.4,8.13,8.95,6.22,23.15,-1.05,-7.18,4.69,107,0,0,1,0,-0.9
-0.2,3.02,-0.07,-1.19,-4.53,-0.01,0,-2.81,20.64,-0.4,1,2,1,9,114,1.11E+14,-261772.52,-16.8,0.79,152.74,146.35,2.17,0,2.95,112,27.7,215,95.8,7.01,3.68,5.08,12.91,-3.24,-5.1,4.94,56,1,1,2,0,0.76
0.32,2.47,0.24,-1.52,-5.31,-0.01,0,-2.79,19.9,0,2,4,2,12,162,1.11E+20,-370806.14,-16.87,1.08,190.02,193.09,2.29,0.01,3.53,121,8.31,226,-19.7,4.94,5.51,5.04,18.08,-1.4,-2.71,3.58,70.4,1,1,1,0,1.03
-1.32,0.62,-0.66,-1.95,-8.07,-0.4,0,-3.1,21.48,0.3,3,4,5,16,298,1.11E+31,-705617.45,-29.67,1.27,265.94,285.19,2.46,0,8.59,187,46.4,337,92.1,9.56,6.53,5.1,24.78,-2.78,-2.77,9.65,104,1,2,2,1,-1.01
-0.46,1.77,-0.41,-1.73,-5.58,-0.01,0,-2.81,20.91,-0.8,3,4,2,12,142,1.11E+22,-371565.33,-22.39,1.06,195.11,198.18,2.3,0,9.44,137,11.5,264,32,6.46,6.06,11.25,32,0.01,-3.22,2.9,73.6,1,1,1,0,1.55
-0.41,2.14,-0.4,-1.81,-5.77,-0.01,0,-2.75,21.09,-1,3,4,2,12,143,1.11E+23,-359090.34,-19.85,1.23,199.15,205.79,2.31,0.01,2.37,144,49.5,321,233,9.73,4.96,8.51,18.04,-0.23,-3.37,4.35,79.4,1,1,2,0,1.31
0,0,-0.75,-1.53,-9.18,-0.97,0,-3.29,23.65,0,2,6,4,19,269,1.11E+34,-727954.05,-65.42,1.49,291.55,320.17,2.51,-0.99,0,200,-71.2,335,-70.9,6.56,7.95,14.5,36.27,1.75,-2.99,10.15,104,2,2,4,1,1.36
1.42,3.56,0.98,-1.28,-3.94,-0.01,0,-2.99,18.16,0.4,1,3,1,9,114,1.11E+13,-274248.27,-12.08,0.77,149.15,142,2.15,0,0.88,92.9,1.16,177,-39.1,3.37,4.37,3.73,20.67,-2.73,-2.8,3.67,50.2,1,1,1,0,0.68
0.42,4.08,1.18,-1.56,-2.67,1.14,0,-3.39,18.16,-3.2,2,3,1,5,42.9,1111111111,-178567.52,-12.73,0.91,106.87,90.66,1.96,0,1.77,108,19.8,231,83.2,5.48,4.2,6.42,14.8,-1.74,-5.51,8.14,63.3,0,0,1,0,-0.68
0.84,3.79,1.55,-1.5,-3.22,1.14,0,-3.4,18.16,-3,2,3,1,6,61.8,1.11E+12,-203245.47,-12.07,0.88,123.86,112.49,2.05,0,1.93,103,20.6,223,81.1,5.25,4.15,6.92,15.51,-0.69,-4.07,2.88,63.3,0,0,1,0,0.12
1.58,3.98,2.22,-1.29,-4.97,1.14,0,-3.38,18.65,-1.5,2,3,3,9,101,1.11E+21,-277278.98,-11.49,0.91,176.64,178.51,2.25,0,1.75,97.3,10,188,15.9,4.1,4.03,4.32,23.12,-1.46,-4.42,4.6,63.3,0,0,1,0,0.61
1.68,3.99,2.28,-1.26,-4.91,1.14,0,-3.39,18.51,-1.7,2,3,3,9,103,1.11E+21,-277277.53,-11.39,0.9,174.76,177.8,2.25,0,1.86,95.2,4.07,178,-13.2,3.66,4.06,5.29,24.73,-0.48,-4.81,8.21,63.3,0,0,1,0,0.5
1.05,3.48,2.27,-0.96,-4.35,1.14,0,-3.57,18.16,-2.3,2,3,2,8,90.4,1.11E+18,-252602.99,-16.64,0.58,154.87,154.22,2.19,0,7.95,86.9,30.2,126,74.6,3.87,1.16,5.48,13.49,-1.89,-5.23,8.12,63.3,0,0,1,0,0.43
1.16,3.62,0.95,-1.39,-4,0.18,0,-3.11,18.16,-2.5,2,3,1,8,103,1.11E+16,-251835.36,-13.13,0.77,147.6,142.26,2.15,0,3.61,94.9,18,192,36.7,4.47,4,3.51,21.36,-3.35,-4.13,3.48,49.3,1,1,1,0,0.62
0.05,2.97,0.3,-1.22,-5.87,-0.01,0,-2.77,20.81,-1.5,2,3,3,12,153,1.11E+22,-348279.88,-15.74,1.01,200.74,208.03,2.32,0,2.66,122,9.49,216,30.8,4.48,4.38,4.16,22.91,-1.94,-2.63,7.78,63.3,0,1,1,0,0.34
