ln(gamma),log(pv), Total mean interaction energy in the mix (H_int)  , H-Bond interaction energy in the mix (H_HB)       , VdW interaction energy in the mix (H_vdW)         , Gas liquid transition energy in the mix (H_glt)   ,w_RS,log10(S_RS),Solvent_MolWeight,XLogP3,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Heavy Atom Count,Complexity,Atomic weights,E_gas,E_diel,Averaging corr dE,Area,Volume,Log(MV),Total COSMO charge,Dipole moment t_value,Sigma2,Sigma3,Sigma4,Sigma5,H-bond moment (accept),H-bond moment (donor) ,"PKA(25,H2O)","PKA(25,MeCN)",logD,WANS*10^5,حdح(dipole moment),Polar Surface Area,Nitrogen Heterocycle Count,Ring Count,Nitrogen Count,Sulfur Count,true_values
1.24,3.26,2.08,-1.52,-5.31,1.14,0,-3.62,18.16,-1.9,2,4,4,9,97,1.11E+19,-502500.66,-15.83,1.08,186.45,185.96,2.27,0.01,4.25,126,19.1,229,42.1,4.86,4.41,4.94,22.93,-1.51,-3.09,4.05,88.6,0,0,1,1,0.24
-0.71,1.74,-0.62,-1.37,-6.93,-0.59,0,-2.61,21.69,-1.1,3,3,3,15,245,1.11E+26,-430875.84,-21.02,1.24,233.33,250.05,2.4,0,5.34,153,-10.6,271,-20.2,4.73,6.7,4.11,22.25,-1.98,-4.08,5.74,79.1,1,2,2,0,-0.08
0.59,2.82,1.41,-1.57,-3.34,1.14,0,-3.45,18.16,-3.1,3,4,2,7,72.6,1.11E+13,-250467.47,-14.94,1.06,132.32,122.02,2.09,0,3.06,118,4.07,216,-33.2,4.49,4.85,3.58,19.55,-4.08,-3.26,0.99,83.6,0,0,1,0,-0.42
-0.22,1.53,0.89,-2.44,-4.79,1.14,0,-3.87,18.16,-3.1,3,4,4,10,146,1.11E+19,-333834.6,-24.89,1.35,180.5,176.05,2.25,0,6.95,174,25,351,64,9.61,7.18,5.6,22.19,-3.61,-5.52,7.53,106,0,0,2,0,-0.02
1,3.49,1.7,-1.63,-3.86,1.14,0,-3.45,18.16,-2.9,3,4,2,8,93.3,1.11E+16,-275147.28,-14.56,1.14,149.43,144.38,2.16,0.01,4,119,6.4,228,-10.9,5.24,4.98,2.45,17.53,-4.59,-5.42,3.68,83.6,0,0,1,0,-0.19
1.02,3.62,1.64,-1.19,-4.18,1.14,0,-3.3,18.16,-2.5,3,4,2,7,75.3,1.11E+13,-453148.38,-13.45,1,147.18,141.36,2.15,0.01,3.06,108,-15.6,173,-97.6,1.79,4.69,5.27,20.11,-1.25,-3.34,5,64.3,0,0,1,1,-1.13
-0.51,2.07,0.57,-2.46,-4.16,1.14,0,-3.86,18.16,-3.4,3,4,3,9,134,1.11E+16,-309157.08,-24.85,1.33,160.84,155.26,2.19,0,3.88,177,14.7,352,34.5,9.05,7.57,3.77,19.29,-6.05,-4.96,6.4,106,0,0,2,0,-0.64
-0.05,2.12,1.4,-1.87,-4.41,1.14,0,-3.93,18.16,-3.7,3,5,4,10,145,1.11E+18,-346311.1,-25.1,1.06,172.73,167.41,2.22,0,8.05,150,9.3,247,-26.7,4.8,5.32,4.16,20.54,-4.48,-4.16,4.84,101,0,0,1,1,-0.76
0.51,2.83,2.08,-1.6,-5.39,1.14,0,-3.89,18.16,-3,3,4,5,10,106,1.11E+23,-312025.55,-21.17,0.86,191.1,191.01,2.28,0,5.99,127,75.3,255,325,8.64,1.15,8.95,18.74,-1,-1.73,0.96,89.3,0,0,2,0,0.34
-0.43,1.47,1.17,-2.23,-6.02,1.14,0,-3.97,18.16,-4.2,4,4,5,12,176,1.11E+25,-380778.48,-28.48,1.38,214.93,214.24,2.33,0,9.11,182,56.4,339,241,10.62,3.9,10.66,22.26,-2.7,-2.93,1.97,128,0,0,4,0,1.31
-0.54,1.3,0.29,-1.91,-4.93,0.18,0,-3.62,18.16,-3.2,3,4,3,11,151,1.11E+19,-344508.98,-27.47,0.98,180.91,181.77,2.26,0,5.04,160,36.7,296,139,8.38,4.38,5.7,14.6,-3.9,-4.52,8.26,92,1,1,3,0,1.03
-0.54,1.3,0.87,-2.92,-5.79,1.14,0,-4.15,18.16,-4.3,4,4,5,12,171,1.11E+24,-393268.07,-29.64,1.53,214.73,215.15,2.33,0,7.6,204,40.5,433,151,12.42,8.36,5.05,24.14,-4.38,-3.03,2.31,118,0,0,3,0,-0.27
0.11,3.08,1.25,-1.79,-3.57,1.14,0,-3.67,18.16,-4.1,2,4,2,7,120,1.11E+13,-476406.07,-18.56,1.09,143.51,133.49,2.13,0.01,3.57,138,-7.89,285,-71.8,4.16,6.16,-2.47,10.55,-10.36,-3.86,3.47,88.8,0,0,1,1,-1.43
-0.2,2.73,0.87,-2.4,-3.69,1.14,0,-3.77,18.16,-2.8,3,5,3,9,133,1.11E+15,-321630.44,-21.27,1.32,154.67,151,2.18,0.01,2.79,162,-13.7,337,-89.9,5.61,8.84,3.86,21.36,-4.48,-3.1,8.53,101,0,0,1,0,-1.3
-0.75,2.22,-0.33,-1.8,-6.02,-0.01,0,-2.95,21.55,-2.3,3,4,3,13,176,1.11E+23,-395506.83,-20.45,1.27,210.41,219.03,2.34,0,4.34,158,-11.2,301,-58.2,5.35,7.81,4.18,23.28,-2.58,-2.6,8.84,83.6,0,1,1,0,0.83
0.03,3.16,0.84,-1.88,-3.74,1.14,0,-3.53,18.16,-1.5,2,4,2,6,55.5,1.11E+12,-429187.17,-19.14,0.95,136.46,125.99,2.1,0,5.56,129,43.8,272,164,8.05,3.84,8.34,19,-1.9,-2.55,5.19,82.5,0,0,1,1,-0.93
0.21,2.82,0.21,-2.18,-4.04,0.18,0,-3.32,18.16,-3.3,3,4,1,9,125,1.11E+17,-299058.88,-18.75,1.12,155.95,154.27,2.19,0,3.05,140,34.4,301,118,8.1,5.75,7.9,18.5,-1.19,-2.19,3.72,69.6,1,1,1,0,0.02
-0.89,2.28,0.05,-1.73,-5.87,0.18,0,-3.35,21,-0.4,2,2,3,11,138,1.11E+21,-321959.65,-23.57,0.83,195.51,194.44,2.29,0,4.66,148,58.4,320,214,11.2,4.88,6.06,14.64,-2.8,-2.61,4.77,57.8,1,1,3,0,1.64
0.04,2.43,0.28,-1.92,-3.91,0.18,0,-3.39,18.16,-0.8,2,3,1,9,154,1.11E+15,-298325.85,-20.95,0.96,151.34,146.44,2.17,0,7.17,137,11.3,267,-26.3,6.36,6.48,3.66,21.17,-4.87,-2.3,6.22,66.4,1,1,1,0,-0.34
-0.53,2.94,0.05,-1.46,-4.65,0.18,0,-3.07,21,-0.7,2,2,2,8,64.7,1.11E+16,-226117.79,-18.32,0.8,155.19,146.49,2.17,0,4.89,122,68.6,307,360,10.5,2.98,8.7,18.47,-1.26,-2.85,4.92,54.7,1,1,3,0,-0.03
-0.63,2.2,-2.05,-0.55,-6.71,-1.36,0.01,-1.74,25.95,2.6,2,2,0,14,219,1.11E+22,-369670.27,-14.85,0.86,210.7,216.51,2.34,0,2.51,108,-19,154,-31.5,2.67,3.95,5.78,12.59,0.02,-2.83,2.59,54.7,2,3,3,0,1.51
-0.94,0.96,-1.63,-1.26,-6.67,-1.36,0,-2.32,23.52,0.6,1,4,0,15,246,1.11E+23,-414479.15,-25.04,0.93,218.25,227.81,2.36,0.01,8.8,141,56.1,274,235,9.64,3.08,5.71,14.84,-2.23,-2.75,8.88,69.6,2,3,5,0,1.68
-0.63,2.3,-2.23,-0.49,-7.31,-1.36,0.01,-1.6,26.82,2.9,2,2,0,15,243,1.11E+25,-394350.33,-14.53,0.87,227.94,238.72,2.38,0,2.95,104,-11.8,144,-14.1,2.67,3.43,5.81,12.56,0.58,-2.26,3.04,54.7,2,3,3,0,1.49
-1.05,0.92,-1.78,-1.23,-7.35,-1.36,0,-2.24,24.36,1,1,4,0,16,271,1.11E+26,-439161.54,-25.13,0.98,237.6,249.06,2.4,0.01,7.72,142,63.8,281,265,10.06,2.97,5.88,15.22,-1.59,-1.95,7.78,69.6,2,3,5,0,1.68
-0.82,1.35,-1.94,-0.88,-7.45,-1.36,0.01,-1.87,24.82,2,1,3,0,16,270,1.11E+27,-429090.88,-21.18,0.93,236.91,253.92,2.4,0,9.17,124,38.5,216,166,7.22,2.74,7.22,16.13,0.27,-4.33,9.28,56.7,2,3,4,0,1.65
-1.04,0.7,-1.85,-1.15,-6.98,-1.36,0,-2.35,24.94,1.7,1,3,0,15,245,1.11E+24,-404412.57,-27.45,0.9,223.43,232.81,2.37,0,10.84,139,39.2,269,182,8.87,4.02,6.83,16.69,-0.82,-4.58,11,56.7,2,3,4,0,1.67
-0.28,2.69,-2.12,-0.47,-6.93,-1.36,0.01,-1.55,26.4,3.6,1,1,0,14,216,1.11E+23,-359587.04,-12.73,0.59,214.44,223.28,2.35,0,4.55,81.6,10,132,63.3,3.7,2.33,7.72,16.34,1.94,-4.95,4.58,28.7,2,3,2,0,2.02
-0.72,1.43,-1.82,-0.89,-6.95,-1.36,0,-1.94,24.19,1.5,1,3,0,15,245,1.11E+24,-404412.92,-20.86,0.92,222.22,233.02,2.37,0,8.83,123,32.7,213,148,6.9,2.78,7,15.75,-0.15,-2.69,8.95,56.7,2,3,4,0,1.64
-0.36,2.73,-1.99,-0.53,-6.32,-1.36,0.01,-1.74,26.25,3.2,1,1,0,13,193,1.11E+20,-334904.7,-13.23,0.56,196.55,201.82,2.3,0,4.61,85.1,3.38,142,46.2,3.74,2.88,7.61,16.32,1.37,-4.84,4.64,28.7,2,3,2,0,1.98
-0.89,1.51,-0.84,-1.28,-6,-0.59,0,-2.72,23.5,1,1,3,0,12,172,1.11E+21,-332645.4,-25.27,0.81,195.56,198.01,2.3,0.01,9.99,128,57.4,269,243,9.75,3.19,7.16,17.5,-1.15,-4.24,10.15,56.7,2,2,4,0,1.84
-0.31,2.74,-1.81,-0.45,-6.71,-1.16,0.01,-1.69,26.09,2.3,1,2,1,13,152,1.11E+22,-335659.6,-12.87,0.73,209.56,213.73,2.33,0,3.22,91.3,4.88,123,51,3.16,1.78,7,14.9,1.32,-6,3.7,38.9,1,2,2,0,2.02
-1.18,0.48,-2.35,-1.09,-8.02,-1.74,0,-2.13,25.96,2.2,1,3,1,17,264,1.11E+28,-453005.36,-27.08,0.93,254.21,269.18,2.43,0,10.11,144,42.9,263,195,8.87,3.5,6.32,15.87,-0.61,-4.74,10.22,56.7,2,3,4,0,1.68
-1.14,0.84,-1.95,-1.21,-7.94,-1.36,0,-2.15,25.03,1.4,1,4,0,17,297,1.11E+29,-463843.37,-25.35,1.03,254.55,269.67,2.43,0.01,6.62,143,68.9,284,281,10.44,2.87,6.01,15.48,-1.09,-4.51,6.74,69.6,2,3,5,0,1.75
1.04,4.28,1.7,-1.4,-3.36,1.14,0,-3.44,18.16,-2.8,2,3,2,6,52.8,1.11E+12,-203238.02,-12.38,0.78,127.98,113.01,2.05,0,2.92,94.2,17.5,201,42.4,4.57,4.19,4.37,24.65,-2.74,-4.93,8.22,49.3,0,0,1,0,0.12
-0.84,1.29,-0.34,-2.16,-4.06,0.18,0,-3.48,18.16,-1.8,1,1,0,8,151,1.11E+14,-248680.59,-30.05,0.8,143.83,134.46,2.13,0,11.98,146,74.4,333,274,12.86,4.35,5.11,15.98,-5.3,-5.49,12.08,58.7,1,1,3,0,1.38
-0.74,1.72,-0.39,-1.95,-4.41,-0.01,0,-3.24,20.56,-1.5,3,4,1,11,225,1.11E+16,-379564.96,-23.86,1.38,167.39,163.4,2.21,0.01,5.18,172,-17.2,327,-144,5.51,8.7,2.35,17.25,-6.68,-4.92,4.87,95.5,1,1,2,0,-1.34
-0.97,-0.26,0.06,-3.29,-6.89,0.18,0,-4.06,18.16,-4,4,5,6,16,259,1.11E+29,-499765.15,-38.44,1.62,256.29,270.05,2.43,0,12.99,233,51,527,223,14.27,9.82,9.18,20.43,-2.61,-2.2,9.07,121,1,1,4,0,0.15
-2.41,-0.47,0.22,-2.88,-4.36,1.14,0,-4.32,18.16,0.5,0,2,1,8,87.6,1.11E+18,-252564.63,-41.59,0.81,153.39,154.86,2.19,0,15.35,178,181,468,789,21.46,0.08,1.63,14.25,-9.97,-2.66,15.47,40.1,0,0,1,0,1.05
-0.79,0.33,-1.16,-2.53,-3.85,-0.01,0,-3.42,18.16,-1.7,2,2,0,8,170,1.11E+12,-247927.26,-34.38,0.87,136.73,126.12,2.1,0,12.89,167,25.9,432,122,12.95,9.67,6.77,18.33,-4,-2.61,13.02,67.5,1,1,3,0,1.25
-0.65,1.31,-1.16,-2.04,-4.15,-0.59,0,-3.06,18.8,-0.5,2,3,0,10,190,1.11E+13,-305848.58,-25.27,0.97,150.2,143.93,2.16,0.01,2.51,159,5.76,351,-26.8,8.83,8.14,3.33,11.33,-6.92,-2.86,2.6,70.1,2,2,4,0,0.45
-0.57,1.37,-1.12,-2.01,-4.4,-0.59,0,-2.98,18.99,-0.7,3,3,0,11,217,1.11E+14,-353096.6,-23.72,1.25,159.89,153.96,2.19,0.01,6.06,170,-15.1,367,-128,7.64,10.2,7.74,22.93,-2.99,-2.73,6.1,86.9,2,2,4,0,-0.21
-1.03,0.35,-1.62,-2.51,-4.57,-0.59,0,-3.17,18.8,-1.1,3,3,0,11,225,1.11E+15,-340609.61,-30.43,1.22,164.42,158.81,2.2,0.01,3.28,191,-7.34,441,-50.1,10.78,11.63,4.81,13.86,-5.99,-2.81,3.34,96.2,2,2,5,0,0.53
-0.14,2.33,-0.31,-1.67,-3.6,-0.01,0,-3.15,18.16,-1.1,2,2,0,8,161,1.11E+11,-260420.35,-21.07,0.9,132.41,121.21,2.08,0,6.46,134,3.97,267,-37,6.39,6.45,8.21,24.76,-2.54,-2.48,6.5,58.2,1,1,2,0,-0.76
-0.94,0.65,-1.32,-1.96,-4.45,-0.59,0,-2.98,20.55,-0.1,2,4,0,10,127,1.11E+14,-293364.85,-30.51,0.99,153.88,148.09,2.17,0,11.17,161,9.31,380,47.5,10.2,8.73,5.5,15,-4.52,-2.45,11.33,80.5,2,2,5,0,1.46
-1.09,-2.05,-1.51,-3.17,-6.49,-0.97,0,-3.23,18.61,-2.1,4,5,2,17,383,1.11E+29,-559442.09,-33.42,1.74,241.37,261.47,2.42,0.01,6.86,228,40.6,467,146,13.35,9.24,15.82,45.67,-2.4,-3.46,9.4,129,1,2,3,0,-0.02
-1.81,-1.34,-2.31,-2.91,-7.2,-1.55,0,-2.92,20.6,-1.3,4,7,2,19,405,1.11E+30,-617361.46,-37.38,1.8,261.27,285.84,2.46,0.01,9.42,243,21.5,459,3.18,11.36,10.23,10.31,29.87,-2.75,-2.08,9.18,129,2,3,4,0,-1.89
-1.33,-1.92,-1.81,-3.1,-7.03,-1.55,0,-3,19.12,-2.4,5,7,2,20,434,1.11E+31,-664603.13,-37.75,1.91,265.99,291.82,2.47,0.01,15.45,240,28.5,439,14,11,9.33,12.24,32.43,-2.45,-3.34,12.18,146,2,3,4,0,-1.17
-2.13,-2.39,-2.68,-3.18,-7.66,-1.55,0,-2.97,20.72,-1.9,5,7,2,20,446,1.11E+32,-652122.61,-42.64,2.09,276.17,298.73,2.48,0.01,11.43,271,-5.63,543,-85.9,12.26,14.35,13.14,36.02,-2.86,-2.22,11.13,155,2,3,5,0,-0.81
0.1,-0.25,-0.2,-2.3,-6.11,-0.97,0,-3.19,18.16,-2,4,6,2,17,371,1.11E+28,-571933.93,-25.98,1.71,235.87,256.94,2.41,0.01,5.57,194,28.6,328,37.3,8.29,6.3,11.64,34.25,-0.98,-1.56,4.28,119,1,2,2,0,-0.52
-1.13,0.66,-1.84,-1.74,-7.3,-1.55,0,-2.12,21.62,-1.1,4,8,2,19,335,1.11E+31,-604889.21,-23.66,1.73,253.58,283.19,2.45,0.01,2.18,191,36.3,322,107,8.99,5.54,14.19,39.95,-0.74,-3.53,3.84,140,2,3,5,0,1.04
-1.17,1.6,0.36,-2.31,-7.14,1.14,0,-3.39,21.7,-1.1,4,5,6,15,239,1.11E+31,-492236.17,-26.02,1.56,247.96,269.32,2.43,0,7.46,186,7.26,354,-39.4,8.13,8.95,6.22,23.15,-1.05,-7.18,4.69,107,0,0,1,0,-0.57
0.24,3.02,0.24,-1.34,-4.4,-0.01,0,-2.97,18.81,-0.4,1,2,1,9,114,1.11E+14,-261772.52,-16.8,0.79,152.74,146.35,2.17,0,2.95,112,27.7,215,95.8,7.01,3.68,5.08,12.91,-3.24,-5.1,4.94,56,1,1,2,0,0.28
1.19,2.47,0.93,-1.68,-5.09,-0.01,0,-3.13,18.29,0,2,4,2,12,162,1.11E+20,-370806.14,-16.87,1.08,190.02,193.09,2.29,0.01,3.53,121,8.31,226,-19.7,4.94,5.51,5.04,18.08,-1.4,-2.71,3.58,70.4,1,1,1,0,0.12
-1.5,0.62,-0.95,-1.78,-8.2,-0.4,0,-3.05,23.38,0.3,3,4,5,16,298,1.11E+31,-705617.45,-29.67,1.27,265.94,285.19,2.46,0,8.59,187,46.4,337,92.1,9.56,6.53,5.1,24.78,-2.78,-2.77,9.65,104,1,2,2,1,-0.5
0.26,1.77,0.18,-1.93,-5.36,-0.01,0,-3.08,18.82,-0.8,3,4,2,12,142,1.11E+22,-371565.33,-22.39,1.06,195.11,198.18,2.3,0,9.44,137,11.5,264,32,6.46,6.06,11.25,32,0.01,-3.22,2.9,73.6,1,1,1,0,0.74
0.77,2.14,0.53,-2.14,-5.45,-0.01,0,-3.21,18.18,-1,3,4,2,12,143,1.11E+23,-359090.34,-19.85,1.23,199.15,205.79,2.31,0.01,2.37,144,49.5,321,233,9.73,4.96,8.51,18.04,-0.23,-3.37,4.35,79.4,1,1,2,0,0.47
0,0,0.71,-2.02,-8.57,-0.97,0,-4.15,18.18,0,2,6,4,19,269,1.11E+34,-727954.05,-65.42,1.49,291.55,320.17,2.51,-0.99,0,200,-71.2,335,-70.9,6.56,7.95,14.5,36.27,1.75,-2.99,10.15,104,2,2,4,1,0.14
1.32,3.56,0.9,-1.26,-3.96,-0.01,0,-2.95,18.34,0.4,1,3,1,9,114,1.11E+13,-274248.27,-12.08,0.77,149.15,142,2.15,0,0.88,92.9,1.16,177,-39.1,3.37,4.37,3.73,20.67,-2.73,-2.8,3.67,50.2,1,1,1,0,0.3
0.42,4.08,1.18,-1.56,-2.67,1.14,0,-3.39,18.18,-3.2,2,3,1,5,42.9,1111111111,-178567.52,-12.73,0.91,106.87,90.66,1.96,0,1.77,108,19.8,231,83.2,5.48,4.2,6.42,14.8,-1.74,-5.51,8.14,63.3,0,0,1,0,-0.75
0.84,3.79,1.54,-1.5,-3.22,1.14,0,-3.4,18.18,-3,2,3,1,6,61.8,1.11E+12,-203245.47,-12.07,0.88,123.86,112.49,2.05,0,1.93,103,20.6,223,81.1,5.25,4.15,6.92,15.51,-0.69,-4.07,2.88,63.3,0,0,1,0,-0.22
1.25,3.98,1.96,-1.25,-5.03,1.14,0,-3.25,19.21,-1.5,2,3,3,9,101,1.11E+21,-277278.98,-11.49,0.91,176.64,178.51,2.25,0,1.75,97.3,10,188,15.9,4.1,4.03,4.32,23.12,-1.46,-4.42,4.6,63.3,0,0,1,0,0.19
1.36,3.99,2.03,-1.22,-4.97,1.14,0,-3.26,19.03,-1.7,2,3,3,9,103,1.11E+21,-277277.53,-11.39,0.9,174.76,177.8,2.25,0,1.86,95.2,4.07,178,-13.2,3.66,4.06,5.29,24.73,-0.48,-4.81,8.21,63.3,0,0,1,0,0.17
1.05,3.48,2.26,-0.95,-4.35,1.14,0,-3.56,18.18,-2.3,2,3,2,8,90.4,1.11E+18,-252602.99,-16.64,0.58,154.87,154.22,2.19,0,7.95,86.9,30.2,126,74.6,3.87,1.16,5.48,13.49,-1.89,-5.23,8.12,63.3,0,0,1,0,0.06
1.15,3.62,0.95,-1.39,-4,0.18,0,-3.11,18.18,-2.5,2,3,1,8,103,1.11E+16,-251835.36,-13.13,0.77,147.6,142.26,2.15,0,3.61,94.9,18,192,36.7,4.47,4,3.51,21.36,-3.35,-4.13,3.48,49.3,1,1,1,0,0.3
0,2.97,0.25,-1.21,-5.88,-0.01,0,-2.75,21.04,-1.5,2,3,3,12,153,1.11E+22,-348279.88,-15.74,1.01,200.74,208.03,2.32,0,2.66,122,9.49,216,30.8,4.48,4.38,4.16,22.91,-1.94,-2.63,7.78,63.3,0,1,1,0,0.25
1.23,3.26,2.07,-1.52,-5.31,1.14,0,-3.62,18.18,-1.9,2,4,4,9,97,1.11E+19,-502500.66,-15.83,1.08,186.45,185.96,2.27,0.01,4.25,126,19.1,229,42.1,4.86,4.41,4.94,22.93,-1.51,-3.09,4.05,88.6,0,0,1,1,-0.03
-0.77,1.74,-0.71,-1.35,-6.96,-0.59,0,-2.59,22.07,-1.1,3,3,3,15,245,1.11E+26,-430875.84,-21.02,1.24,233.33,250.05,2.4,0,5.34,153,-10.6,271,-20.2,4.73,6.7,4.11,22.25,-1.98,-4.08,5.74,79.1,1,2,2,0,-0.06
0.59,2.82,1.41,-1.57,-3.34,1.14,0,-3.45,18.18,-3.1,3,4,2,7,72.6,1.11E+13,-250467.47,-14.94,1.06,132.32,122.02,2.09,0,3.06,118,4.07,216,-33.2,4.49,4.85,3.58,19.55,-4.08,-3.26,0.99,83.6,0,0,1,0,-0.29
-0.23,1.53,0.89,-2.43,-4.79,1.14,0,-3.87,18.18,-3.1,3,4,4,10,146,1.11E+19,-333834.6,-24.89,1.35,180.5,176.05,2.25,0,6.95,174,25,351,64,9.61,7.18,5.6,22.19,-3.61,-5.52,7.53,106,0,0,2,0,-0.25
1,3.49,1.69,-1.63,-3.86,1.14,0,-3.45,18.18,-2.9,3,4,2,8,93.3,1.11E+16,-275147.28,-14.56,1.14,149.43,144.38,2.16,0.01,4,119,6.4,228,-10.9,5.24,4.98,2.45,17.53,-4.59,-5.42,3.68,83.6,0,0,1,0,-0.22
1.01,3.62,1.64,-1.19,-4.18,1.14,0,-3.3,18.18,-2.5,3,4,2,7,75.3,1.11E+13,-453148.38,-13.45,1,147.18,141.36,2.15,0.01,3.06,108,-15.6,173,-97.6,1.79,4.69,5.27,20.11,-1.25,-3.34,5,64.3,0,0,1,1,-0.51
-0.51,2.07,0.57,-2.46,-4.16,1.14,0,-3.86,18.18,-3.4,3,4,3,9,134,1.11E+16,-309157.08,-24.85,1.33,160.84,155.26,2.19,0,3.88,177,14.7,352,34.5,9.05,7.57,3.77,19.29,-6.05,-4.96,6.4,106,0,0,2,0,-0.35
